Illinois
1997
"Taft, J. B., Wilhelm, G. S., Ladd, D. M., & Masters, L. A. 1997. Floristic quality assessment for vegetation in Illinois, a method for assessing vegetation integrity. Westville: Illinois Native Plant Society."
"Illinois  , 1997"

"Total Species:",3040
"Native Species:",2084
"Non-native Species:",956
"Total Mean C:",4.4
"Native Mean C:",6.4

"Scientific Name",Family,Acronym,Native?,C,W,Physiognomy,Duration,"Common Name"
"Allium sativum",,ALLSAT,non-native,0,5,forb,perennial,garlic
"Allium schoenoprasum",,ALLSSC,non-native,0,5,forb,perennial,chives
"Allium schoenoprasum v. sibiricum",,ALLSSI,non-native,0,5,forb,perennial,"wild chives"
"Allium stellatum",,ALLSTE,native,10,5,forb,perennial,"cliff onion"
"Allium tricoccum",,ALLTRI,native,7,2,forb,perennial,"wild leek"
"Allium vineale",,ALLVIN,non-native,0,3,forb,perennial,"field garlic"
"Alnus glutinosa",,ALNGLU,non-native,0,-2,tree,perennial,"black alder"
"Alnus incana v. rugosa",,ALNINC,native,7,-5,shrub,perennial,"speckled alder"
"Alnus serrulata",,ALNSER,native,7,-5,shrub,perennial,"common alder"
"Alopecurus aequalis",,ALOAEQ,native,6,-5,grass,perennial,foxtail
"Alopecurus carolinianus",,ALOCAR,native,0,-3,grass,annual,"annual foxtail"
"Alopecurus pratensis",,ALOPRA,non-native,0,-3,grass,perennial,"meadow foxtail"
"Alyssum alyssoides",,ALYALY,non-native,0,5,forb,annual,"pale alyssum"
"Amaranthus albus",,AMAALB,native,0,3,forb,annual,tumbleweed
"Amaranthus ambigens",,AMAAMB,native,0,5,forb,annual,"water hemp"
"Amaranthus arenicola",,AMAARE,non-native,0,3,forb,annual,"torreys amaranth"
"Amaranthus caudatus",,AMACAU,non-native,0,0,forb,annual,"purple amaranth"
"Amaranthus cruentus",,AMACRU,non-native,0,5,forb,annual,love-lies-bleeding
"Amaranthus graecizans",,AMAGRA,non-native,0,5,forb,annual,"prostrate amaranth"
"Amaranthus hybridus",,AMAHYB,non-native,0,5,forb,perennial,"green amaranth"
"Amaranthus palmeri",,AMAPAL,non-native,0,3,forb,annual,"palmers amaranth"
"Amaranthus powellii",,AMAPOW,non-native,0,5,forb,annual,"smooth pigweed"
"Amaranthus retroflexus",,AMARET,non-native,0,2,forb,annual,"rough pigweed"
"Amaranthus rudis",,AMARUD,native,0,-3,forb,annual,"tamarisk waterhemp"
"Amaranthus spinosus",,AMASPI,non-native,0,3,forb,annual,"spiny pigweed"
"Amaranthus tuberculatus",,AMATUB,native,1,-5,forb,annual,"tall waterhemp"
"Ambrosia artemisiifolia",,AMBART,native,0,3,forb,annual,"common ragweed"
"Ambrosia bidentata",,AMBBID,native,0,4,forb,annual,"lanceleaf ragweed"
"Ambrosia psilostachya",,AMBPSI,native,2,1,forb,perennial,"western ragweed"
"Ambrosia tomentosa",,AMBTOM,non-native,0,5,forb,perennial,"false ragweed"
"Ambrosia trifida",,AMBTRI,native,0,-1,forb,annual,"giant ragweed"
"Amelanchier arborea",,AMEARB,native,7,3,tree,perennial,juneberry
"Amelanchier humilis",,AMEHUM,native,7,5,shrub,perennial,"low shadbush"
"Amelanchier interior",,AMEINT,native,8,5,tree,perennial,shadbush
"Amelanchier laevis",,AMELAE,native,7,5,tree,perennial,shadbush
"Amelanchier sanguinea",,AMESAN,native,10,5,shrub,perennial,"round-leaved serviceberry"
"Ammannia auriculata",,AMMAUR,native,8,-5,forb,annual,"scarlet loosestrife"
"Ammannia coccinea",,AMMCOC,native,5,-5,forb,annual,"long-leaved ammannia"
"Ammophila breviligulata",,AMMBRE,native,9,5,grass,perennial,"beach grass"
"Amorpha canescens",,AMOCAN,native,8,5,shrub,perennial,"lead plant"
"Amorpha fruticosa",,AMOFRF,native,6,-4,shrub,perennial,"false indigo bush"
"Amorpha fruticosa v. angustifolia",,AMOFRA,native,6,-4,shrub,perennial,"false indigo bush"
"Amorpha fruticosa v. croceolanata",,AMOFRC,native,6,4,shrub,perennial,"false indigo bush"
"Amorpha nitens",,AMONIT,native,9,-3,shrub,perennial,"smooth false indigo bush"
"Ampelopsis arborea",,AMPARB,native,6,-3,vine,perennial,pepper-vine
"Ampelopsis brevipedunculata",,AMPBRE,non-native,0,1,vine,perennial,"turquois berry"
"Ampelopsis cordata",,AMPCOR,native,2,-1,vine,perennial,"raccoon grape"
"Amphiachyris dracunculoides",,AMPDRA,non-native,0,5,forb,annual,broomweed
"Amphicarpa bracteata",,AMPBRB,native,4,0,vine,perennial,"hog peanut"
"Amphicarpa bracteata v. comosa",,AMPBRC,native,4,0,vine,perennial,"hog peanut"
"Amsinckia lycopsoides",,AMSLYC,non-native,0,5,forb,annual,tarweed
"Amsinckia spectabilis",,AMSSPE,non-native,0,5,forb,annual,fiddle-neck
"Amsonia tabernaemontana",,AMSTAT,native,6,-3,forb,perennial,"blue star"
"Amsonia tabernaemontana v. salicifolia",,AMSTAS,native,6,-3,forb,perennial,"blue star"
"Anagallis arvensis",,ANAARV,non-native,0,5,forb,annual,"poor mans weatherglass"
"Anagallis minima",,ANAMIN,native,5,4,forb,annual,chaffweed
"Anaphalis margaritacea",,ANAMAR,non-native,0,5,forb,perennial,"pearly everlasting"
"Anchusa officinalis",,ANCOFF,non-native,0,5,forb,perennial,"common alkanet"
"Andromeda polifolia v. glaucophylla",,ANDPOL,native,10,-5,shrub,perennial,"bog rosemary"
"Andropogon elliottii",,ANDELL,native,3,5,grass,perennial,"elliotts broom sedge"
"Andropogon gerardii",,ANDGER,native,5,1,grass,perennial,"big bluestem"
"Andropogon hallii",,ANDHAL,non-native,0,5,grass,perennial,"sand bluestem"
"Andropogon ternarius",,ANDTER,native,8,3,grass,perennial,"beard grass"
"Andropogon virginicus",,ANDVIR,native,1,1,grass,perennial,"broom sedge"
"Androsace occidentalis",,ANDOCC,native,4,4,forb,annual,androsace
"Anemone canadensis",,ANECAN,native,4,-3,forb,perennial,"meadow anemone"
"Anemone caroliniana",,ANECAR,native,9,5,forb,perennial,"carolina anemone"
"Anemone cylindrica",,ANECYL,native,8,5,forb,perennial,"candle anemone"
"Anemone quinquefolia",,ANEQUI,native,7,0,forb,perennial,"wood anemone"
"Anemone virginiana",,ANEVIR,native,4,5,forb,perennial,"tall anemone"
"Anethum graveolens",,ANEGRA,non-native,0,5,forb,annual,dill
"Angelica atropurpurea",,ANGATR,native,6,-5,forb,perennial,angelica
"Angelica venenosa",,ANGVEN,native,8,5,forb,perennial,"wood angelica"
"Anoda cristata",,ANOCRI,non-native,0,0,forb,annual,"crested anoda"
"Antennaria neglecta",,ANTNEG,native,4,5,forb,perennial,"cats foot"
"Antennaria plantaginifolia",,ANTPLA,native,4,5,forb,perennial,"pussy toes"
"Anthemis arvensis",,ANTARV,non-native,0,5,forb,annual,"corn chamomile"
"Anthemis cotula",,ANTCOT,non-native,0,3,forb,annual,"dog fennel"
"Anthemis tinctoria",,ANTTIN,non-native,0,5,forb,perennial,"golden chamomile"
"Anthoxanthum aristatum",,ANTARI,non-native,0,5,grass,annual,"annual sweet grass"
"Anthoxanthum odoratum",,ANTODO,non-native,0,3,grass,perennial,"sweet vernal grass"
"Anthriscus cerefolium",,ANTCER,non-native,0,5,forb,annual,chervil
"Anthriscus sylvestris",,ANTSYL,non-native,0,5,forb,biennial,"false chervil"
"Anthyllis vulneraria",,ANTVUL,non-native,0,5,forb,annual,"ladys fingers"
"Antirrhinum majus",,ANTMAJ,non-native,0,5,forb,perennial,"common snapdragon"
"Apios americana",,APIAME,native,3,-3,vine,perennial,"ground nut"
"Apios priceana",,APIPRI,native,10,0,vine,perennial,"prices groundnut"
"Aplectrum hyemale",,APLHYE,native,7,1,forb,perennial,adam-and-eve
"Apocynum androsaemifolium",,APOAND,native,6,5,forb,perennial,"spreading dogbane"
"Apocynum cannabinum",,APOCAN,native,2,0,forb,perennial,dogbane
"Apocynum sibiricum",,APOSIB,native,2,-1,forb,perennial,"indian hemp"
"Apocynum x medium",,APOMED,native,6,5,forb,perennial,"intermediate dogbane"
"Aquilegia canadensis",,AQUCAN,native,5,1,forb,perennial,columbine
"Aquilegia vulgaris",,AQUVUL,non-native,0,5,forb,perennial,"garden columbine"
"Arabidopsis thaliana",,ARATHA,non-native,0,5,forb,annual,"mouse-eared cress"
"Arabis canadensis",,ARACAN,native,6,5,forb,biennial,sicklepod
"Arabis divaricarpa",,ARADIV,native,4,5,forb,biennial,"purple rock cress"
"Arabis drummondii",,ARADRU,native,10,3,forb,biennial,"drummonds rock cress"
"Arabis glabra",,ARAGLA,native,6,5,forb,biennial,"tower mustard"
"Arabis hirsuta",,ARAHIR,native,5,3,forb,biennial,"hairy rock cress"
"Arabis laevigata",,ARALAE,native,4,5,forb,biennial,"smooth rock cress"
"Arabis lyrata",,ARALYR,native,7,4,forb,biennial,"lyre-leaved rock cress"
"Arabis shortii",,ARASHO,native,6,5,forb,biennial,"toothed cress"
"Aralia chinensis",,ARACHI,non-native,0,5,shrub,perennial,"chinese angelica tree"
"Aralia elata",,ARAELA,non-native,0,5,shrub,perennial,"japanese angelica tree"
"Aralia hispida",,ARAHIS,native,10,5,forb,perennial,"bristly sarsaparilla"
"Aralia nudicaulis",,ARANUD,native,7,3,shrub,perennial,"wild sarsaparilla"
"Aralia racemosa",,ARARAC,native,8,5,forb,perennial,"american spikenard"
"Aralia spinosa",,ARASPI,native,6,-2,shrub,perennial,"devils walking stick"
"Arctium lappa",,ARCLAP,non-native,0,5,forb,biennial,"great burdock"
"Arctium minus",,ARCMIN,non-native,0,5,forb,biennial,"common burdock"
"Arctium tomentosum",,ARCTOM,non-native,0,5,forb,biennial,"cotton burdock"
"Arctostaphylos uva-ursi v. coactilis",,ARCUVA,native,10,5,shrub,perennial,bearberry
"Arenaria serpyllifolia",,ARESER,non-native,0,0,forb,annual,"thyme-leaved sandwort"
"Argemone albiflora",,ARGALB,non-native,0,5,forb,annual,"white prickly poppy"
"Argemone mexicana",,ARGMEX,non-native,0,5,forb,annual,"mexican poppy"
"Arisaema dracontium",,ARIDRA,native,4,-3,forb,perennial,"green dragon"
"Arisaema triphyllum",,ARITRI,native,4,-2,forb,perennial,"indian turnip"
"Aristida basiramea",,ARIBAS,native,6,5,grass,annual,"forked-tip three-awn grass"
"Aristida curtissii",,ARICUR,native,3,3,grass,annual,"curtiss three awn grass"
"Aristida desmantha",,ARIDES,native,9,5,grass,annual,"three awn"
"Aristida dichotoma",,ARIDIC,native,2,3,grass,annual,"poverty grass"
"Aristida intermedia",,ARIINT,native,6,5,grass,annual,"false arrow feather"
"Aristida longespica",,ARILON,native,2,4,grass,annual,"three awn"
"Aristida oligantha",,ARIOLI,native,0,5,grass,annual,"plains three awn grass"
"Aristida purpurascens",,ARIPUR,native,5,5,grass,perennial,arrowfeather
"Aristida ramosissima",,ARIRAM,native,3,5,grass,annual,"slender three awn"
"Aristida tuberculosa",,ARITUB,native,9,5,grass,annual,"beach three awn grass"
"Aristolochia serpentaria",,ARISES,native,6,5,forb,perennial,birthwort
"Aristolochia serpentaria v. hastata",,ARISEH,native,10,-1,forb,perennial,"narrow-leaved snakeroot"
"Aristolochia tomentosa",,ARITOM,native,6,0,vine,perennial,"dutchmans pipe"
"Armoracia aquatica",,ARMAQU,native,10,-5,forb,perennial,"lake cress"
"Armoracia rusticana",,ARMRUS,non-native,0,0,forb,perennial,"horse radish"
"Aronia melanocarpa",,AROMEL,native,8,-2,shrub,perennial,"black chokeberry"
"Aronia prunifolia",,AROPRU,native,8,-2,shrub,perennial,"purple chokeberry"
"Arrhenatherum elatius",,ARRELA,non-native,0,3,grass,perennial,"tall oat grass"
"Artemisia abrotanum",,ARTABR,non-native,0,5,shrub,perennial,southernwood
"Artemisia absinthium",,ARTABS,non-native,0,5,forb,perennial,"common wormwood"
"Artemisia annua",,ARTANN,non-native,0,3,forb,annual,"annual wormwood"
"Artemisia biennis",,ARTBIE,non-native,0,-2,forb,biennial,"biennial wormwood"
"Artemisia campestris",,ARTCAM,native,4,5,forb,biennial,"beach wormwood"
"Artemisia dracunculus",,ARTDRA,native,9,5,forb,perennial,"false tarragon"
"Artemisia frigida",,ARTFRI,non-native,0,5,shrub,perennial,"fringed sagebrush"
"Artemisia ludoviciana",,ARTLUD,native,2,5,forb,perennial,"white sage"
"Artemisia pontica",,ARTPON,non-native,0,0,shrub,perennial,"roman wormwood"
"Artemisia serrata",,ARTSER,native,10,5,forb,perennial,"saw-toothed sagebrush"
"Artemisia vulgaris",,ARTVUL,non-native,0,5,forb,perennial,mugwort
"Arum italicum",,ARUITA,non-native,0,5,forb,perennial,arum
"Aruncus dioicus",,ARUDIO,native,7,3,forb,perennial,goats-beard
"Arundinaria gigantea",,ARUGIG,native,5,-3,grass,perennial,"giant cane"
"Arundo donax",,ARUDON,non-native,0,-3,grass,perennial,"giant reed"
"Asarum canadense",,ASACAN,native,5,5,forb,perennial,"canada wild ginger"
"Asclepias amplexicaulis",,ASCAMP,native,7,5,forb,perennial,"sand milkweed"
"Asclepias exaltata",,ASCEXA,native,8,5,forb,perennial,"poke milkweed"
"Asclepias hirtella",,ASCHIR,native,6,5,forb,perennial,"tall green milkweed"
"Asclepias incarnata",,ASCINC,native,4,-5,forb,perennial,"swamp milkweed"
"Asclepias meadii",,ASCMEA,native,10,5,forb,perennial,"meads milkweed"
"Asclepias otarioides",,ASCONT,native,10,5,forb,perennial,"woolly milkweed"
"Asclepias ovalifolia",,ASCOVA,native,10,5,forb,perennial,"oval milkweed"
"Asclepias perennis",,ASCPER,native,10,-5,forb,perennial,"white milkweed"
"Asclepias purpurascens",,ASCPUR,native,7,3,forb,perennial,"purple milkweed"
"Asclepias quadrifolia",,ASCQUA,native,6,5,forb,perennial,"whorled milkweed"
"Asclepias speciosa",,ASCSPE,non-native,0,0,forb,perennial,"showy milkweed"
"Asclepias stenophylla",,ASCSTE,native,10,5,forb,perennial,"narrow-leaved green milkweed"
"Asclepias sullivantii",,ASCSUL,native,7,5,forb,perennial,"prairie milkweed"
"Asclepias syriaca",,ASCSYR,native,0,5,forb,perennial,"common milkweed"
"Asclepias tuberosa v. interior",,ASCTUB,native,5,5,forb,perennial,butterflyweed
"Asclepias variegata",,ASCVAR,native,8,4,forb,perennial,"variegated milkweed"
"Asclepias verticillata",,ASCVER,native,1,5,forb,perennial,"horsetail milkweed"
"Asclepias viridiflora",,ASCVIF,native,9,5,forb,perennial,"green milkweed"
"Asclepias viridis",,ASCVIS,native,6,5,forb,perennial,"green-flowered milkweed"
"Asimina triloba",,ASITRI,native,4,0,tree,perennial,papaw
"Asparagus officinalis",,ASPOFF,non-native,0,3,forb,perennial,"garden asparagus"
"Asperugo procumbens",,ASPPRO,non-native,0,5,forb,annual,madwort
"Asplenium bradleyi",,ASPBRA,native,10,5,fern,perennial,"bradleys spleenwort"
"Asplenium pinnatifidum",,ASPPIN,native,10,5,fern,perennial,"pinnatifid spleenwort"
"Asplenium platyneuron",,ASPPLA,native,4,3,fern,perennial,"ebony spleenwort"
"Asplenium resiliens",,ASPRES,native,10,5,fern,perennial,"black spleenwort"
"Asplenium rhizophyllum",,ASPRHI,native,8,5,fern,perennial,"walking fern"
"Asplenium ruta-muraria",,ASPRUT,native,10,5,fern,perennial,"wall-rue spleenwort"
"Asplenium trichomanes",,ASPTRT,native,10,5,fern,perennial,"maidenhair spleenwort"
"Asplenium trichomanes v. quadrivalens",,ASPTRQ,native,10,5,fern,perennial,"maidenhair spleenwort"
"Asplenium x ebenoides",,ASPEBE,native,10,5,fern,perennial,"scotts spleenwort"
"Asplenium x gravesii",,ASPGRA,native,10,5,fern,perennial,"graves spleenwort"
"Asplenium x herb-wagneri",,ASPHER,native,10,5,fern,perennial,"wagners spleenwort"
"Asplenium x kentuckiense",,ASPKEN,native,10,5,fern,perennial,"kentucky spleenwort"
"Asplenium x shawneense",,ASPSHA,native,10,5,fern,perennial,"shawnee spleenwort"
"Asplenium x trudellii",,ASPTRU,native,10,5,fern,perennial,"trudells spleenwort"
"Aster anomalus",,ASTANO,native,8,5,forb,perennial,"blue aster"
"Aster azureus",,ASTAZU,native,7,5,forb,perennial,"sky-blue aster"
"Aster borealis",,ASTBOR,native,10,-5,forb,perennial,"rush aster"
"Aster brachyactis",,ASTBRA,non-native,0,0,forb,perennial,"rayless aster"
"Aster cordifolius",,ASTCOR,native,6,5,forb,perennial,"heart-leaved aster"
"Aster drummondii",,ASTDRU,native,3,3,forb,perennial,"drummonds aster"
"Aster dumosus",,ASTDUM,native,5,-1,forb,perennial,"bushy aster"
"Aster ericoides",,ASTERI,native,4,4,forb,perennial,"heath aster"
"Aster firmus",,ASTFIR,native,5,-5,forb,perennial,"shining aster"
"Aster furcatus",,ASTFUR,native,9,5,forb,perennial,"forked aster"
"Aster laevis",,ASTLAE,native,8,5,forb,perennial,"smooth blue aster"
"Aster lateriflorus",,ASTLAT,native,2,-2,forb,perennial,"side-flowering aster"
"Aster linariifolius",,ASTLIN,native,9,5,forb,perennial,"flax-leaved aster"
"Aster macrophyllus",,ASTMAC,native,9,5,forb,perennial,"big-leaved aster"
"Aster novae-angliae",,ASTNOV,native,4,-3,forb,perennial,"new england aster"
"Aster oblongifolius",,ASTOBL,native,7,5,forb,perennial,"aromatic aster"
"Aster ontarionis",,ASTONT,native,4,0,forb,perennial,"ontario aster"
"Aster parviceps",,ASTPAR,native,3,5,forb,perennial,"small-headed aster"
"Aster patens",,ASTPAT,native,6,5,forb,perennial,"purple daisy"
"Aster pilosus",,ASTPIL,native,0,4,forb,perennial,"hairy aster"
"Aster praealtus",,ASTPRA,native,4,-5,forb,perennial,"willow aster"
"Aster prenanthoides",,ASTPRE,native,10,-5,forb,perennial,"crooked aster"
"Aster puniceus",,ASTPUN,native,7,-5,forb,perennial,"bristly aster"
"Aster sagittifolius",,ASTSAG,native,4,5,forb,perennial,"arrow-leaved aster"
"Aster schreberi",,ASTSCH,native,10,5,forb,perennial,"smooth forked aster"
"Aster sericeus",,ASTSER,native,9,5,forb,perennial,"silky aster"
"Aster shortii",,ASTSHO,native,6,5,forb,perennial,"shorts aster"
"Aster simplex",,ASTSIM,native,3,-5,forb,perennial,"panicled aster"
"Aster subulatus",,ASTSUB,non-native,0,-5,forb,annual,"expressway aster"
"Aster tataricus",,ASTTAT,non-native,0,5,forb,perennial,"tartarian aster"
"Aster turbinellus",,ASTTUR,native,7,5,forb,perennial,"prairie aster"
"Aster umbellatus",,ASTUMB,native,8,-3,forb,perennial,"flat-top aster"
"Aster undulatus",,ASTUND,native,9,5,forb,perennial,"wavy-leaved aster"
"Aster vimineus",,ASTVIM,native,3,-2,forb,perennial,"small white aster"
"Aster x amethystinus",,ASTAME,native,5,0,forb,perennial,"amethyst aster"
"Astragalus agrestis",,ASTAGR,non-native,0,-2,forb,perennial,"field milk vetch"
"Astragalus canadensis",,ASTCAN,native,7,-1,forb,perennial,"canadian milk vetch"
"Astragalus crassicarpus v. trichocalyx",,ASTCRA,native,8,5,forb,perennial,"large ground plum"
"Astragalus distortus",,ASTDIS,native,8,5,forb,perennial,"bent milk vetch"
"Astragalus tennesseensis",,ASTTEN,native,10,5,forb,perennial,"tennessee milk vetch"
"Athyrium angustum",,ATHANG,native,6,0,fern,perennial,"lady fern"
"Athyrium asplenioides",,ATHASP,native,6,0,fern,perennial,"southern lady fern"
"Athyrium pycnocarpon",,ATHPYC,native,10,1,fern,perennial,"glade fern"
"Athyrium thelypterioides",,ATHTHE,native,10,0,fern,perennial,"silvery spleenwort"
"Atriplex argentea",,ATRARG,non-native,0,0,forb,annual,"silver orach"
"Atriplex glabriuscula",,ATRGLA,non-native,0,5,forb,annual,"smooth orach"
"Atriplex hortensis",,ATRHOR,non-native,0,0,forb,annual,"garden orach"
"Atriplex patula",,ATRPAT,non-native,0,2,forb,annual,"fat-hen saltbush"
"Atriplex rosea",,ATRROS,non-native,0,2,forb,annual,"red orache"
"Aureolaria flava",,AURFLA,native,8,5,forb,perennial,"smooth false foxglove"
"Aureolaria grandiflora v. pulchra",,AURGRA,native,6,5,forb,perennial,"yellow false foxglove"
"Aureolaria pedicularia v. ambigens",,AURPED,native,9,5,forb,annual,"clammy false foxglove"
"Avena fatua",,AVEFAT,non-native,0,5,grass,annual,"wild oats"
"Avena sativa",,AVESAT,non-native,0,5,grass,annual,oats
"Azolla mexicana",,AZOMEX,native,8,-5,fern,perennial,"mexican azolla"
"Bacopa rotundifolia",,BACROT,native,5,-5,forb,perennial,"water hyssop"
"Ballota nigra",,BALNIG,non-native,0,5,forb,perennial,"black horehound"
"Balsamita major",,BALMAJ,non-native,0,5,forb,perennial,costmary
"Baptisia australis",,BAPAUA,non-native,0,5,forb,perennial,"blue wild indigo"
"Baptisia australis v. minor",,BAPAUM,non-native,0,5,forb,perennial,"blue wild indigo"
"Baptisia lactea",,BAPLAC,native,6,3,forb,perennial,"white wild indigo"
